id,title,image,description,type,status,created_at,updated_at,user_id
54,Kursi,kursi2.jpg,Sebuah Kursi bekas,Barang,Tersedia,2024-05-28 07:21:14,2024-05-28 09:21:14,290
55,Jasa Pindahan,jasa pindahan1.jpg,Sebuah Jasa Pindahan,Jasa,Tersedia,2024-05-23 22:24:50,2024-05-24 06:24:50,171
56,Jasa Pindahan,jasa pindahan2.jpg,Sebuah Jasa Pindahan,Jasa,Tersedia,2024-05-21 00:33:04,2024-05-21 09:33:04,283
57,Smartphone,smartphone5.jpg,Sebuah Smartphone bekas,Barang,Selesai,2024-05-24 08:31:33,2024-05-24 15:31:33,143
58,Smartphone,smartphone6.jpg,Sebuah Smartphone bekas,Barang,Tersedia,2024-06-03 23:39:31,2024-06-04 07:39:31,55
59,Jam Tangan,jam tangan2.jpg,Sebuah Jam Tangan bekas,Barang,Tersedia,2024-06-05 10:03:56,2024-06-05 17:03:56,146
60,Laptop,laptop2.jpg,Sebuah Laptop bekas,Barang,Selesai,2024-06-09 11:11:10,2024-06-09 14:11:10,93
61,Kamera,kamera2.jpg,Sebuah Kamera bekas,Barang,Selesai,2024-05-30 07:01:27,2024-05-30 13:01:27,154
62,Kamera,kamera3.jpg,Sebuah Kamera bekas,Barang,Tersedia,2024-05-25 23:39:43,2024-05-26 05:39:43,247
63,Jasa Fotografi,jasa fotografi1.jpg,Sebuah Jasa Fotografi,Jasa,Selesai,2024-06-09 00:22:02,2024-06-09 05:22:02,206
64,Jam Tangan,jam tangan3.jpg,Sebuah Jam Tangan bekas,Barang,Tersedia,2024-06-03 18:20:56,2024-06-03 20:20:56,22
65,Les Bahasa Inggris,les bahasa inggris3.jpg,Sebuah Les Bahasa Inggris,Jasa,Selesai,2024-06-06 22:52:19,2024-06-07 01:52:19,300
66,Lemari,lemari8.jpg,Sebuah Lemari bekas,Barang,Tersedia,2024-05-22 17:42:45,2024-05-23 00:42:45,150
67,Meja,meja4.jpg,Sebuah Meja bekas,Barang,Tersedia,2024-05-31 16:38:29,2024-06-01 01:38:29,215
68,Meja,meja5.jpg,Sebuah Meja bekas,Barang,Selesai,2024-06-06 04:08:30,2024-06-06 05:08:30,125
69,Rak Buku,rak buku13.jpg,Sebuah Rak Buku bekas,Barang,Selesai,2024-05-30 21:25:42,2024-05-30 22:25:42,255
70,Sepeda,sepeda7.jpg,Sebuah Sepeda bekas,Barang,Selesai,2024-05-24 07:53:59,2024-05-24 11:53:59,187
71,Lemari,lemari9.jpg,Sebuah Lemari bekas,Barang,Selesai,2024-05-24 01:05:19,2024-05-24 09:05:19,47
72,Smartphone,smartphone7.jpg,Sebuah Smartphone bekas,Barang,Tersedia,2024-05-25 01:21:46,2024-05-25 07:21:46,32
73,Smartphone,smartphone8.jpg,Sebuah Smartphone bekas,Barang,Tersedia,2024-06-01 19:27:55,2024-06-02 03:27:55,53
74,Laptop,laptop3.jpg,Sebuah Laptop bekas,Barang,Tersedia,2024-05-29 10:02:47,2024-05-29 19:02:47,233
75,Smartphone,smartphone9.jpg,Sebuah Smartphone bekas,Barang,Selesai,2024-06-04 10:17:56,2024-06-04 15:17:56,171
76,Jasa Perawatan Hewan,jasa perawatan hewan6.jpg,Sebuah Jasa Perawatan Hewan,Jasa,Selesai,2024-06-01 15:04:07,2024-06-02 00:04:07,98
77,Jasa Perawatan Hewan,jasa perawatan hewan7.jpg,Sebuah Jasa Perawatan Hewan,Jasa,Tersedia,2024-05-30 14:24:32,2024-05-30 21:24:32,262
78,Jam Tangan,jam tangan4.jpg,Sebuah Jam Tangan bekas,Barang,Tersedia,2024-06-02 04:52:30,2024-06-02 07:52:30,41
79,Jam Tangan,jam tangan5.jpg,Sebuah Jam Tangan bekas,Barang,Tersedia,2024-06-04 09:13:43,2024-06-04 19:13:43,148
80,Jam Tangan,jam tangan6.jpg,Sebuah Jam Tangan bekas,Barang,Selesai,2024-05-31 00:18:45,2024-05-31 08:18:45,53
81,Les Bahasa Inggris,les bahasa inggris4.jpg,Sebuah Les Bahasa Inggris,Jasa,Tersedia,2024-06-04 16:25:23,2024-06-05 00:25:23,141
82,Jam Tangan,jam tangan7.jpg,Sebuah Jam Tangan bekas,Barang,Selesai,2024-05-23 06:57:14,2024-05-23 08:57:14,153
83,Jam Tangan,jam tangan8.jpg,Sebuah Jam Tangan bekas,Barang,Selesai,2024-06-10 09:41:26,2024-06-10 11:41:26,194
84,Televisi,televisi7.jpg,Sebuah Televisi bekas,Barang,Tersedia,2024-06-05 01:20:48,2024-06-05 04:20:48,240
85,Kamera,kamera4.jpg,Sebuah Kamera bekas,Barang,Tersedia,2024-06-07 09:56:08,2024-06-07 19:56:08,194
86,Smartphone,smartphone10.jpg,Sebuah Smartphone bekas,Barang,Selesai,2024-05-29 13:00:30,2024-05-29 16:00:30,87
87,Sepeda,sepeda8.jpg,Sebuah Sepeda bekas,Barang,Tersedia,2024-06-06 14:11:08,2024-06-06 16:11:08,7
88,Kursi,kursi3.jpg,Sebuah Kursi bekas,Barang,Tersedia,2024-05-26 21:46:48,2024-05-27 07:46:48,100
89,Laptop,laptop4.jpg,Sebuah Laptop bekas,Barang,Selesai,2024-05-26 06:29:38,2024-05-26 12:29:38,41
90,Kursi,kursi4.jpg,Sebuah Kursi bekas,Barang,Selesai,2024-06-10 05:16:15,2024-06-10 12:16:15,98
91,Kursi,kursi5.jpg,Sebuah Kursi bekas,Barang,Tersedia,2024-05-23 03:35:20,2024-05-23 08:35:20,297
92,Rak Buku,rak buku14.jpg,Sebuah Rak Buku bekas,Barang,Selesai,2024-05-23 18:15:42,2024-05-23 23:15:42,206
93,Kursi,kursi6.jpg,Sebuah Kursi bekas,Barang,Tersedia,2024-06-04 07:44:29,2024-06-04 16:44:29,232
94,Jasa Kebersihan,jasa kebersihan2.jpg,Sebuah Jasa Kebersihan,Jasa,Tersedia,2024-05-29 05:48:02,2024-05-29 08:48:02,267
95,Sepeda,sepeda9.jpg,Sebuah Sepeda bekas,Barang,Tersedia,2024-06-09 15:28:51,2024-06-09 20:28:51,25
96,Smartphone,smartphone11.jpg,Sebuah Smartphone bekas,Barang,Tersedia,2024-05-28 18:06:20,2024-05-28 19:06:20,195
97,Rak Buku,rak buku15.jpg,Sebuah Rak Buku bekas,Barang,Tersedia,2024-06-01 16:18:50,2024-06-01 18:18:50,230
98,Jam Tangan,jam tangan9.jpg,Sebuah Jam Tangan bekas,Barang,Selesai,2024-06-08 22:19:28,2024-06-09 01:19:28,294
99,Pelajaran Gitar,pelajaran gitar1.jpg,Sebuah Pelajaran Gitar,Jasa,Selesai,2024-05-22 01:04:49,2024-05-22 08:04:49,115
100,Laptop,laptop5.jpg,Sebuah Laptop bekas,Barang,Selesai,2024-06-05 20:46:19,2024-06-06 03:46:19,91
101,Lemari,lemari10.jpg,Sebuah Lemari bekas,Barang,Tersedia,2024-06-03 03:40:54,2024-06-03 05:40:54,198
102,Smartphone,smartphone12.jpg,Sebuah Smartphone bekas,Barang,Tersedia,2024-06-10 06:43:01,2024-06-10 10:43:01,243
103,Smartphone,smartphone13.jpg,Sebuah Smartphone bekas,Barang,Selesai,2024-05-24 07:14:53,2024-05-24 12:14:53,251
104,Smartphone,smartphone14.jpg,Sebuah Smartphone bekas,Barang,Selesai,2024-05-23 11:22:07,2024-05-23 17:22:07,39
105,Les Bahasa Inggris,les bahasa inggris5.jpg,Sebuah Les Bahasa Inggris,Jasa,Selesai,2024-06-07 03:43:28,2024-06-07 13:43:28,92
106,Rak Buku,rak buku16.jpg,Sebuah Rak Buku bekas,Barang,Tersedia,2024-05-20 17:39:08,2024-05-20 21:39:08,107
107,Jasa Cuci Mobil,jasa cuci mobil2.jpg,Sebuah Jasa Cuci Mobil,Jasa,Tersedia,2024-06-09 22:17:34,2024-06-10 01:17:34,79
108,Jasa Cuci Mobil,jasa cuci mobil3.jpg,Sebuah Jasa Cuci Mobil,Jasa,Tersedia,2024-05-22 13:50:41,2024-05-22 18:50:41,153
109,Televisi,televisi8.jpg,Sebuah Televisi bekas,Barang,Selesai,2024-06-05 11:20:02,2024-06-05 19:20:02,171
110,Laptop,laptop6.jpg,Sebuah Laptop bekas,Barang,Selesai,2024-05-28 03:07:08,2024-05-28 13:07:08,217
111,Jasa Pindahan,jasa pindahan3.jpg,Sebuah Jasa Pindahan,Jasa,Selesai,2024-05-23 05:28:03,2024-05-23 08:28:03,258
112,Jasa Tukang Kebun,jasa tukang kebun2.jpg,Sebuah Jasa Tukang Kebun,Jasa,Selesai,2024-06-07 09:37:10,2024-06-07 10:37:10,102
113,Smartphone,smartphone15.jpg,Sebuah Smartphone bekas,Barang,Tersedia,2024-05-20 16:42:23,2024-05-21 02:42:23,19
114,Smartphone,smartphone16.jpg,Sebuah Smartphone bekas,Barang,Tersedia,2024-05-26 06:25:57,2024-05-26 15:25:57,244
115,Smartphone,smartphone17.jpg,Sebuah Smartphone bekas,Barang,Selesai,2024-05-28 02:03:36,2024-05-28 07:03:36,291
116,Smartphone,smartphone18.jpg,Sebuah Smartphone bekas,Barang,Tersedia,2024-06-01 16:13:22,2024-06-01 23:13:22,80
117,Lemari,lemari11.jpg,Sebuah Lemari bekas,Barang,Tersedia,2024-06-05 20:20:39,2024-06-06 04:20:39,202
118,Jasa Perawatan Hewan,jasa perawatan hewan8.jpg,Sebuah Jasa Perawatan Hewan,Jasa,Tersedia,2024-06-01 01:18:16,2024-06-01 03:18:16,248
119,Televisi,televisi9.jpg,Sebuah Televisi bekas,Barang,Tersedia,2024-05-28 08:43:41,2024-05-28 16:43:41,18
120,Jasa Tukang Kebun,jasa tukang kebun3.jpg,Sebuah Jasa Tukang Kebun,Jasa,Tersedia,2024-05-26 11:51:43,2024-05-26 20:51:43,251
121,Televisi,televisi10.jpg,Sebuah Televisi bekas,Barang,Tersedia,2024-06-10 11:11:11,2024-06-10 17:11:11,91
122,Televisi,televisi11.jpg,Sebuah Televisi bekas,Barang,Selesai,2024-05-30 13:19:48,2024-05-30 20:19:48,64
123,Televisi,televisi12.jpg,Sebuah Televisi bekas,Barang,Selesai,2024-05-21 10:25:08,2024-05-21 15:25:08,153
124,Televisi,televisi13.jpg,Sebuah Televisi bekas,Barang,Tersedia,2024-06-01 05:07:22,2024-06-01 10:07:22,185
125,Pelajaran Gitar,pelajaran gitar2.jpg,Sebuah Pelajaran Gitar,Jasa,Tersedia,2024-06-05 04:28:31,2024-06-05 14:28:31,88
126,Rak Buku,rak buku17.jpg,Sebuah Rak Buku bekas,Barang,Tersedia,2024-05-26 17:45:29,2024-05-27 01:45:29,66
127,Kamera,kamera5.jpg,Sebuah Kamera bekas,Barang,Selesai,2024-05-30 11:11:42,2024-05-30 13:11:42,252
128,Lemari,lemari12.jpg,Sebuah Lemari bekas,Barang,Tersedia,2024-05-22 15:24:31,2024-05-23 00:24:31,102
129,Kamera,kamera6.jpg,Sebuah Kamera bekas,Barang,Tersedia,2024-06-09 10:43:26,2024-06-09 13:43:26,174
130,Kamera,kamera7.jpg,Sebuah Kamera bekas,Barang,Tersedia,2024-06-04 15:55:48,2024-06-04 19:55:48,103
131,Jam Tangan,jam tangan10.jpg,Sebuah Jam Tangan bekas,Barang,Tersedia,2024-05-28 19:53:19,2024-05-29 00:53:19,209
132,Jasa Perawatan Hewan,jasa perawatan hewan9.jpg,Sebuah Jasa Perawatan Hewan,Jasa,Tersedia,2024-06-09 09:15:10,2024-06-09 10:15:10,203
133,Jasa Perawatan Hewan,jasa perawatan hewan10.jpg,Sebuah Jasa Perawatan Hewan,Jasa,Tersedia,2024-05-22 16:08:22,2024-05-23 02:08:22,234
134,Televisi,televisi14.jpg,Sebuah Televisi bekas,Barang,Tersedia,2024-05-30 22:35:13,2024-05-30 23:35:13,267
135,Televisi,televisi15.jpg,Sebuah Televisi bekas,Barang,Tersedia,2024-06-07 13:06:36,2024-06-07 20:06:36,27
136,Televisi,televisi16.jpg,Sebuah Televisi bekas,Barang,Selesai,2024-05-26 07:06:42,2024-05-26 11:06:42,25
137,Meja,meja6.jpg,Sebuah Meja bekas,Barang,Selesai,2024-06-03 01:53:29,2024-06-03 08:53:29,252
138,Meja,meja7.jpg,Sebuah Meja bekas,Barang,Selesai,2024-05-27 07:52:31,2024-05-27 15:52:31,46
139,Sepeda,sepeda10.jpg,Sebuah Sepeda bekas,Barang,Tersedia,2024-05-24 15:48:23,2024-05-25 00:48:23,66
140,Rak Buku,rak buku18.jpg,Sebuah Rak Buku bekas,Barang,Tersedia,2024-05-24 16:30:51,2024-05-25 01:30:51,131
141,Rak Buku,rak buku19.jpg,Sebuah Rak Buku bekas,Barang,Selesai,2024-06-01 08:58:48,2024-06-01 14:58:48,143
142,Kursi,kursi7.jpg,Sebuah Kursi bekas,Barang,Selesai,2024-06-01 02:36:53,2024-06-01 07:36:53,169
143,Kursi,kursi8.jpg,Sebuah Kursi bekas,Barang,Selesai,2024-06-06 13:36:42,2024-06-06 17:36:42,105
144,Jasa Kebersihan,jasa kebersihan3.jpg,Sebuah Jasa Kebersihan,Jasa,Tersedia,2024-06-04 16:27:21,2024-06-04 23:27:21,6
145,Jasa Cuci Mobil,jasa cuci mobil4.jpg,Sebuah Jasa Cuci Mobil,Jasa,Selesai,2024-06-06 15:43:39,2024-06-06 23:43:39,121
146,Sepeda,sepeda11.jpg,Sebuah Sepeda bekas,Barang,Tersedia,2024-05-29 13:09:45,2024-05-29 18:09:45,141
147,Jasa Renovasi Rumah,jasa renovasi rumah2.jpg,Sebuah Jasa Renovasi Rumah,Jasa,Tersedia,2024-06-01 17:19:48,2024-06-01 19:19:48,221
148,Smartphone,smartphone19.jpg,Sebuah Smartphone bekas,Barang,Tersedia,2024-05-29 00:20:50,2024-05-29 10:20:50,82
149,Rak Buku,rak buku20.jpg,Sebuah Rak Buku bekas,Barang,Selesai,2024-05-22 03:11:32,2024-05-22 13:11:32,113
150,Jasa Fotografi,jasa fotografi2.jpg,Sebuah Jasa Fotografi,Jasa,Tersedia,2024-05-31 23:06:09,2024-06-01 00:06:09,42
151,Kamera,kamera8.jpg,Sebuah Kamera bekas,Barang,Tersedia,2024-05-25 10:29:16,2024-05-25 17:29:16,266
152,Jasa Pindahan,jasa pindahan4.jpg,Sebuah Jasa Pindahan,Jasa,Selesai,2024-06-07 14:56:17,2024-06-07 23:56:17,77
153,Kursi,kursi9.jpg,Sebuah Kursi bekas,Barang,Tersedia,2024-06-07 23:26:53,2024-06-08 01:26:53,203
154,Jam Tangan,jam tangan11.jpg,Sebuah Jam Tangan bekas,Barang,Selesai,2024-05-30 07:36:36,2024-05-30 15:36:36,80
155,Jam Tangan,jam tangan12.jpg,Sebuah Jam Tangan bekas,Barang,Selesai,2024-05-26 04:20:03,2024-05-26 13:20:03,167
156,Jasa Renovasi Rumah,jasa renovasi rumah3.jpg,Sebuah Jasa Renovasi Rumah,Jasa,Tersedia,2024-05-29 19:38:19,2024-05-29 21:38:19,95
157,Les Bahasa Inggris,les bahasa inggris6.jpg,Sebuah Les Bahasa Inggris,Jasa,Tersedia,2024-06-08 08:54:44,2024-06-08 13:54:44,109
158,Smartphone,smartphone20.jpg,Sebuah Smartphone bekas,Barang,Tersedia,2024-06-05 22:08:21,2024-06-06 04:08:21,176
159,Jasa Kebersihan,jasa kebersihan4.jpg,Sebuah Jasa Kebersihan,Jasa,Selesai,2024-05-23 19:30:27,2024-05-24 00:30:27,60
160,Jasa Kebersihan,jasa kebersihan5.jpg,Sebuah Jasa Kebersihan,Jasa,Tersedia,2024-06-03 11:49:58,2024-06-03 19:49:58,68
161,Kursi,kursi10.jpg,Sebuah Kursi bekas,Barang,Tersedia,2024-06-05 16:26:00,2024-06-06 00:26:00,187
162,Jasa Pindahan,jasa pindahan5.jpg,Sebuah Jasa Pindahan,Jasa,Selesai,2024-06-03 06:44:49,2024-06-03 15:44:49,141
163,Kursi,kursi11.jpg,Sebuah Kursi bekas,Barang,Tersedia,2024-06-05 14:05:56,2024-06-05 15:05:56,246
164,Lemari,lemari13.jpg,Sebuah Lemari bekas,Barang,Tersedia,2024-05-23 23:59:30,2024-05-24 06:59:30,248
165,Jam Tangan,jam tangan13.jpg,Sebuah Jam Tangan bekas,Barang,Selesai,2024-05-27 05:03:53,2024-05-27 13:03:53,293
166,Kursi,kursi12.jpg,Sebuah Kursi bekas,Barang,Selesai,2024-05-30 10:41:14,2024-05-30 11:41:14,36
167,Jam Tangan,jam tangan14.jpg,Sebuah Jam Tangan bekas,Barang,Tersedia,2024-05-24 05:43:07,2024-05-24 13:43:07,135
168,Kamera,kamera9.jpg,Sebuah Kamera bekas,Barang,Selesai,2024-05-20 13:01:52,2024-05-20 22:01:52,187
169,Kamera,kamera10.jpg,Sebuah Kamera bekas,Barang,Tersedia,2024-05-22 12:16:45,2024-05-22 18:16:45,39
170,Sepeda,sepeda12.jpg,Sebuah Sepeda bekas,Barang,Selesai,2024-06-05 07:14:02,2024-06-05 11:14:02,283
171,Lemari,lemari14.jpg,Sebuah Lemari bekas,Barang,Selesai,2024-06-07 21:12:55,2024-06-08 02:12:55,98
172,Kursi,kursi13.jpg,Sebuah Kursi bekas,Barang,Selesai,2024-05-25 22:54:01,2024-05-26 01:54:01,245
173,Jasa Fotografi,jasa fotografi3.jpg,Sebuah Jasa Fotografi,Jasa,Selesai,2024-05-22 16:57:00,2024-05-22 22:57:00,292
174,Kamera,kamera11.jpg,Sebuah Kamera bekas,Barang,Selesai,2024-06-06 18:17:08,2024-06-07 02:17:08,237
175,Sepeda,sepeda13.jpg,Sebuah Sepeda bekas,Barang,Selesai,2024-05-24 19:19:54,2024-05-25 04:19:54,89
176,Sepeda,sepeda14.jpg,Sebuah Sepeda bekas,Barang,Tersedia,2024-06-02 10:42:49,2024-06-02 13:42:49,118
177,Lemari,lemari15.jpg,Sebuah Lemari bekas,Barang,Tersedia,2024-05-23 07:32:29,2024-05-23 13:32:29,279
178,Kamera,kamera12.jpg,Sebuah Kamera bekas,Barang,Tersedia,2024-05-30 06:10:15,2024-05-30 11:10:15,206
179,Jam Tangan,jam tangan15.jpg,Sebuah Jam Tangan bekas,Barang,Tersedia,2024-05-22 04:55:47,2024-05-22 10:55:47,283
180,Jasa Fotografi,jasa fotografi4.jpg,Sebuah Jasa Fotografi,Jasa,Tersedia,2024-06-07 22:24:28,2024-06-08 02:24:28,143
181,Sepeda,sepeda15.jpg,Sebuah Sepeda bekas,Barang,Selesai,2024-06-04 11:45:04,2024-06-04 20:45:04,51
182,Lemari,lemari16.jpg,Sebuah Lemari bekas,Barang,Selesai,2024-05-24 12:24:06,2024-05-24 13:24:06,42
183,Jam Tangan,jam tangan16.jpg,Sebuah Jam Tangan bekas,Barang,Selesai,2024-06-06 13:23:05,2024-06-06 17:23:05,241
184,Jasa Cuci Mobil,jasa cuci mobil5.jpg,Sebuah Jasa Cuci Mobil,Jasa,Selesai,2024-06-01 21:08:20,2024-06-02 01:08:20,38
185,Jasa Cuci Mobil,jasa cuci mobil6.jpg,Sebuah Jasa Cuci Mobil,Jasa,Selesai,2024-06-05 16:01:58,2024-06-06 02:01:58,95
186,Smartphone,smartphone21.jpg,Sebuah Smartphone bekas,Barang,Tersedia,2024-05-25 10:52:39,2024-05-25 12:52:39,290
187,Lemari,lemari17.jpg,Sebuah Lemari bekas,Barang,Tersedia,2024-05-28 15:00:37,2024-05-28 20:00:37,92
188,Laptop,laptop7.jpg,Sebuah Laptop bekas,Barang,Selesai,2024-06-07 13:59:32,2024-06-07 19:59:32,77
189,Laptop,laptop8.jpg,Sebuah Laptop bekas,Barang,Selesai,2024-05-23 20:12:49,2024-05-24 03:12:49,101
190,Laptop,laptop9.jpg,Sebuah Laptop bekas,Barang,Tersedia,2024-06-06 12:30:42,2024-06-06 21:30:42,3
191,Laptop,laptop10.jpg,Sebuah Laptop bekas,Barang,Tersedia,2024-06-03 13:53:55,2024-06-03 19:53:55,180
192,Rak Buku,rak buku21.jpg,Sebuah Rak Buku bekas,Barang,Selesai,2024-05-28 01:28:33,2024-05-28 06:28:33,121
